City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Bethel,US,41.3712,-73.414,69.64,85,100,5.99,overcast clouds
Ushuaia,AR,-54.8,-68.3,38.23,91,36,5.03,scattered clouds
Alice Springs,AU,-23.7,133.8833,69.22,32,75,6.91,broken clouds
Albany,US,42.6001,-73.9662,74.62,71,98,1.01,overcast clouds
Airai,TL,-8.9266,125.4092,66.67,83,64,1.19,broken clouds
Sorong,ID,-0.8833,131.25,80.89,78,98,3.98,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,44.71,81,20,14.97,few clouds
Saskylakh,RU,71.9167,114.0833,27.82,94,100,12.91,overcast clouds
Palapye,BW,-22.546,27.1251,61.56,40,0,4.76,clear sky
Milkovo,RU,54.7167,158.6167,47.98,70,96,6.04,overcast clouds
Rawson,AR,-43.3002,-65.1023,49.89,48,0,18.23,clear sky
Upernavik,GL,72.7868,-56.1549,12.52,89,15,3.71,few clouds
Mattru,SL,7.6244,-11.8332,75.63,95,94,1.81,overcast clouds
Trincomalee,LK,8.5711,81.2335,80.4,82,100,23.09,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,49.95,72,2,1.99,clear sky
Khasan,RU,42.4308,130.6434,55.45,42,22,9.13,few clouds
Georgetown,MY,5.4112,100.3354,82.33,89,20,0.0,few clouds
Bereda,ES,43.2686,-7.5406,59.58,98,97,2.3,overcast clouds
Narsaq,GL,60.9167,-46.05,39.42,79,92,3.24,overcast clouds
Bengkulu,ID,-3.8004,102.2655,78.1,91,42,3.74,scattered clouds
Geraldton,AU,-28.7667,114.6,59.41,88,100,4.61,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,68.0,83,17,7.94,few clouds
Ancud,CL,-41.8697,-73.8203,46.54,88,0,6.26,clear sky
Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,56,0,5.75,clear sky
Saint-Georges,GD,12.0564,-61.7485,79.36,76,99,14.74,overcast clouds
Mayo,US,38.8876,-76.5119,69.17,93,75,5.75,mist
Jamestown,US,42.097,-79.2353,68.95,92,71,4.83,broken clouds
Leningradskiy,RU,69.3833,178.4167,35.91,99,100,9.89,overcast clouds
Mataura,NZ,-46.1927,168.8643,50.49,70,55,3.36,broken clouds
Lavrentiya,RU,65.5833,-171.0,31.57,99,98,6.2,overcast clouds
Berlevag,NO,70.8578,29.0864,35.4,80,20,2.3,few clouds
Basak,PH,6.7274,124.1512,77.85,80,77,1.7,moderate rain
Castro,BR,-24.7911,-50.0119,55.8,89,99,1.59,moderate rain
Mgandu,TZ,-5.95,34.1333,57.92,91,58,5.86,broken clouds
Rikitea,PF,-23.1203,-134.9692,76.53,71,3,20.94,clear sky
Puerto Ayora,EC,-0.7393,-90.3518,72.55,95,85,7.25,overcast clouds
Chifeng,CN,42.2683,118.9636,57.34,32,2,12.59,clear sky
Savannah Bight,HN,16.45,-85.85,81.5,66,4,12.53,clear sky
Aklavik,CA,68.2191,-135.0107,29.41,72,100,8.23,overcast clouds
Kandalaksha,RU,67.162,32.4123,40.39,91,37,2.51,scattered clouds
Dingle,PH,10.9995,122.6711,81.68,76,99,3.74,light rain
Nortelandia,BR,-14.4547,-56.8028,77.04,54,27,1.43,scattered clouds
Chuy,UY,-33.6971,-53.4616,59.32,84,92,3.96,overcast clouds
Yuancheng,CN,36.652,107.7896,52.84,51,97,2.48,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,39.04,91,100,27.16,overcast clouds
Ryotsu,JP,38.0833,138.4333,59.05,50,100,4.79,overcast clouds
Tiksi,RU,71.6872,128.8694,17.24,88,27,5.44,scattered clouds
Nikel,RU,69.4128,30.222,37.58,85,20,4.14,few clouds
Clyde River,CA,70.4692,-68.5914,21.06,81,28,3.18,scattered clouds
Nishihara,JP,26.1842,127.7558,76.28,97,100,14.97,light intensity shower rain
Whitehorse,CA,60.7161,-135.0538,39.02,84,100,6.91,light rain and snow
Treinta Y Tres,UY,-33.2333,-54.3833,60.44,72,100,3.47,overcast clouds
Aykhal,RU,66.0,111.5,35.94,97,100,4.14,overcast clouds
Chokurdakh,RU,70.6333,147.9167,17.91,88,97,2.42,overcast clouds
Zheleznodorozhnyy,RU,55.7503,38.0042,50.18,79,67,6.49,broken clouds
Araouane,ML,18.9048,-3.5265,80.33,8,40,11.63,scattered clouds
Ocala,US,29.1872,-82.1401,78.98,71,0,3.44,clear sky
Methoni,GR,36.8197,21.7049,65.21,86,50,9.69,scattered clouds
Westport,US,41.1415,-73.3579,68.61,95,40,0.0,light rain
Salta,AR,-24.7859,-65.4117,59.58,82,97,1.99,overcast clouds
San Juan,AR,-31.5375,-68.5364,57.94,56,78,16.24,broken clouds
Lerwick,GB,60.1545,-1.1494,48.2,86,92,7.34,overcast clouds
Petrovsk,RU,52.3064,45.3917,47.43,92,57,7.27,broken clouds
Neiafu,TO,-18.65,-173.9833,76.82,65,100,13.89,light rain
Koster,ZA,-25.863,26.8976,54.97,37,55,3.76,broken clouds
Yellowknife,CA,62.456,-114.3525,59.56,43,92,15.99,overcast clouds
Ampanihy,MG,-24.7,44.75,65.46,71,0,4.94,clear sky
Port Hardy,CA,50.6996,-127.4199,53.78,66,75,17.27,broken clouds
Busselton,AU,-33.65,115.3333,58.06,71,98,5.82,overcast clouds
Constitucion,CL,-35.3333,-72.4167,52.61,60,44,5.5,scattered clouds
Nikolskoye,RU,59.7035,30.7861,45.81,97,80,4.65,broken clouds
Ibra,OM,22.6906,58.5334,75.02,24,0,1.59,clear sky
Batagay,RU,67.6333,134.6333,23.95,70,100,3.56,overcast clouds
Yongan,CN,39.6957,113.6871,52.52,34,9,4.68,clear sky
Faya,SA,18.3851,42.4509,63.12,20,1,7.23,clear sky
Liwale,TZ,-9.7667,37.9333,69.42,73,100,2.13,overcast clouds
Hermanus,ZA,-34.4187,19.2345,56.12,78,7,7.76,clear sky
Barrow,US,71.2906,-156.7887,30.22,86,0,18.41,clear sky
Newport,GB,51.5877,-2.9984,57.25,86,87,3.2,overcast clouds
Lompoc,US,34.6391,-120.4579,88.84,52,10,11.32,clear sky
Antofagasta,CL,-23.65,-70.4,58.28,79,32,5.08,scattered clouds
Chapais,CA,49.7834,-74.8492,65.98,81,100,8.9,overcast clouds
Dakar,SN,14.6937,-17.4441,79.68,82,17,12.46,few clouds
Victoria,HK,22.2855,114.1577,73.96,93,100,21.0,overcast clouds
Hilo,US,19.7297,-155.09,86.29,74,75,12.66,broken clouds
Mount Gambier,AU,-37.8333,140.7667,58.91,88,40,13.8,scattered clouds
Qaanaaq,GL,77.484,-69.3632,15.13,77,69,5.21,broken clouds
Humaita,BR,-7.5061,-63.0208,75.49,95,89,2.26,light rain
Kruisfontein,ZA,-34.0033,24.7314,51.69,89,1,4.65,clear sky
Henties Bay,NA,-22.116,14.2845,59.14,73,0,7.34,clear sky
Alofi,NU,-19.0595,-169.9187,76.15,64,70,12.1,broken clouds
Belaya Gora,RU,68.5333,146.4167,23.43,87,100,6.24,light snow
Nanortalik,GL,60.1432,-45.2371,31.51,82,100,6.11,overcast clouds
Gamba,GA,-2.65,10.0,77.5,92,96,4.63,overcast clouds
Esperance,AU,-33.8667,121.9,51.64,71,91,14.79,overcast clouds
Abu Samrah,SY,35.3029,37.1841,73.31,42,99,9.17,overcast clouds
Kavieng,PG,-2.5744,150.7967,84.16,66,14,7.4,few clouds
Hithadhoo,MV,-0.6,73.0833,82.29,70,91,9.22,overcast clouds
Kautokeino,NO,69.0125,23.0412,34.81,100,100,2.35,overcast clouds
Atuona,PF,-9.8,-139.0333,78.37,79,60,16.62,broken clouds
Thompson,CA,55.7435,-97.8558,40.01,98,100,3.56,overcast clouds
Faanui,PF,-16.4833,-151.75,81.63,66,0,13.18,clear sky
Pavilosta,LV,56.8879,21.1859,44.51,93,56,8.95,broken clouds
Mahebourg,MU,-20.4081,57.7,71.26,76,77,10.09,broken clouds
Cape Town,ZA,-33.9258,18.4232,60.91,76,2,8.99,clear sky
Bredasdorp,ZA,-34.5322,20.0403,52.52,86,6,2.62,clear sky
Kapaa,US,22.0752,-159.319,82.38,75,20,13.8,few clouds
Oistins,BB,13.0667,-59.5333,80.69,74,40,17.27,scattered clouds
Bluff,NZ,-46.6,168.3333,50.81,71,76,9.73,broken clouds
Fortuna,US,40.5982,-124.1573,67.93,78,0,10.36,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,29.25,70,100,5.99,overcast clouds
Bardiyah,LY,31.7561,25.0865,63.79,84,0,9.13,clear sky
La Ronge,CA,55.1001,-105.2842,37.81,95,100,8.79,overcast clouds
Gryazovets,RU,58.88,40.2525,39.58,98,82,6.96,broken clouds
Zilair,RU,52.2332,57.4392,45.16,97,100,5.17,overcast clouds
Burnie,AU,-41.0667,145.9167,58.95,91,48,17.0,scattered clouds
Denpasar,ID,-8.65,115.2167,80.26,94,20,2.3,few clouds
Zlobin,HR,45.2924,14.6541,58.3,82,0,1.14,clear sky
Mbandaka,CD,0.0487,18.2603,71.02,97,77,1.05,light rain
Kirakira,SB,-10.4544,161.9205,85.19,68,42,2.86,scattered clouds
Ribeira Grande,PT,38.5167,-28.7,59.7,68,38,28.45,light rain
San Cristobal,VE,7.7669,-72.225,68.58,89,94,2.86,overcast clouds
Guerrero Negro,MX,27.9769,-114.0611,70.38,53,100,18.99,overcast clouds
Alvarado,MX,18.7667,-95.7667,81.59,73,1,15.28,clear sky
Santa Rosa,PH,14.3122,121.1114,88.02,76,95,3.71,overcast clouds
Xiongyue,CN,40.1774,122.1228,56.62,59,3,5.88,clear sky
Souillac,MU,-20.5167,57.5167,72.86,76,57,7.61,broken clouds
Maniitsoq,GL,65.4167,-52.9,28.78,60,72,7.25,broken clouds
Hambantota,LK,6.1241,81.1185,78.49,86,100,17.81,overcast clouds
Vaini,TO,-21.2,-175.2,74.05,67,98,17.76,light rain
Maragogi,BR,-9.0122,-35.2225,76.91,88,63,8.86,broken clouds
Rivera,UY,-30.9053,-55.5508,58.86,91,100,5.86,overcast clouds
Vila,PT,42.0304,-8.1588,52.7,90,81,5.26,broken clouds
Grants Pass,US,42.439,-123.3284,75.85,53,0,4.61,clear sky
Port Lincoln,AU,-34.7333,135.8667,63.16,75,16,22.44,few clouds
Sitka,US,57.0531,-135.33,49.89,66,100,10.36,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,59.72,82,75,4.61,moderate rain
Sampit,ID,-2.5333,112.95,79.03,83,100,1.23,overcast clouds
Klaksvik,FO,62.2266,-6.589,49.12,88,93,6.73,overcast clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,79,89,17.9,overcast clouds
Marystown,CA,47.1666,-55.1483,43.86,100,97,5.14,overcast clouds
Mount Isa,AU,-20.7333,139.5,73.17,49,3,8.05,clear sky
Hofn,IS,64.2539,-15.2082,40.8,91,100,14.54,overcast clouds
Flinders,AU,-34.5833,150.8552,72.37,88,94,7.0,overcast clouds
Lishu,CN,43.3047,124.3278,57.22,34,3,12.37,clear sky
New Norfolk,AU,-42.7826,147.0587,62.92,64,35,4.0,scattered clouds
Sola,VU,-13.8833,167.55,79.68,71,99,13.71,overcast clouds
Cherskiy,RU,68.75,161.3,27.75,89,99,19.6,overcast clouds
Broome,US,42.2506,-75.833,70.57,83,0,5.75,clear sky
Bonavista,CA,48.6499,-53.1147,33.66,78,39,4.83,scattered clouds
Camacha,PT,33.0833,-16.3333,62.02,88,20,5.75,few clouds
Camacupa,AO,-12.0167,17.4833,58.91,65,3,3.29,clear sky
Carnarvon,AU,-24.8667,113.6333,62.87,54,0,18.32,clear sky
Kiunga,PG,-6.1219,141.2906,78.44,90,92,1.07,light rain
Itoman,JP,26.1247,127.6694,77.02,96,75,14.97,shower rain
Dunedin,NZ,-45.8742,170.5036,50.81,91,100,3.0,overcast clouds
Batagay-Alyta,RU,67.8006,130.4114,15.55,75,16,2.06,few clouds
Butaritari,KI,3.0707,172.7902,80.82,74,18,7.45,few clouds
Kantang,TH,7.4054,99.5156,80.19,87,28,0.94,scattered clouds
Poum,NC,-20.2333,164.0167,77.54,75,74,15.84,broken clouds
Vredendal,ZA,-31.6683,18.5012,54.9,61,0,4.45,clear sky
Wufeng,CN,27.45,104.8333,44.56,96,100,3.47,overcast clouds
Port Alfred,ZA,-33.5906,26.891,60.49,81,8,6.42,clear sky
Makakilo City,US,21.3469,-158.0858,82.72,46,20,14.97,few clouds
Avarua,CK,-21.2078,-159.775,80.65,69,75,6.91,broken clouds
Ilulissat,GL,69.2167,-51.1,26.62,54,40,4.61,scattered clouds
Hobart,AU,-42.8794,147.3294,63.27,64,75,4.0,broken clouds
Bambous Virieux,MU,-20.3428,57.7575,71.22,77,78,10.38,broken clouds
Halifax,CA,44.6453,-63.5724,63.68,56,57,6.26,broken clouds
Illapel,CL,-31.6308,-71.1653,62.47,61,11,2.24,few clouds
Tuatapere,NZ,-46.1333,167.6833,52.18,77,71,4.09,broken clouds
Yinchuan,CN,38.4681,106.2731,57.36,13,67,3.27,broken clouds
Buraydah,SA,26.326,43.975,75.7,12,0,9.66,clear sky
Boa Vista,BR,2.8197,-60.6733,81.81,71,100,4.59,overcast clouds
Vao,NC,-22.6667,167.4833,73.62,70,66,16.46,broken clouds
Moerai,PF,-22.4333,-151.3333,80.04,80,66,19.51,broken clouds
Xuanhua,CN,40.6103,115.0447,58.01,24,2,5.46,clear sky
Nurota,UZ,40.5614,65.6886,59.52,50,1,5.37,clear sky
Kibondo,TZ,-3.5864,30.7203,59.32,93,61,2.44,light rain
Pacific Grove,US,36.6177,-121.9166,74.44,71,0,11.01,clear sky
Harindanga,IN,22.0383,88.3214,83.79,83,100,17.63,overcast clouds
Acari,PE,-15.4311,-74.6158,68.97,74,28,3.56,scattered clouds
Bonthe,SL,7.5264,-12.505,78.3,84,81,5.28,broken clouds
Tamandare,BR,-8.7597,-35.1047,77.14,87,64,7.87,broken clouds
Sur,OM,22.5667,59.5289,82.96,51,0,2.75,clear sky
Port Blair,IN,11.6667,92.75,83.32,79,95,13.67,overcast clouds
Chaohu,CN,31.6,117.8667,65.19,56,100,2.93,light rain
Jalu,LY,29.0331,21.5482,68.94,45,0,10.29,clear sky
North Shore,NZ,-36.8,174.75,67.91,84,99,11.01,overcast clouds
Assiniboia,CA,49.6334,-105.9845,57.31,48,58,17.74,broken clouds
East London,ZA,-33.0153,27.9116,61.03,78,33,4.05,scattered clouds
Kokkola,FI,63.8385,23.1307,40.93,94,75,3.44,broken clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,73.22,71,99,7.67,overcast clouds
Ler,SS,8.3018,30.1418,82.98,50,58,1.07,broken clouds
Saint-Philippe,RE,-21.3585,55.7679,69.39,79,41,7.67,scattered clouds
Diamantino,BR,-14.4086,-56.4461,78.75,53,34,2.1,scattered clouds
Srednekolymsk,RU,67.45,153.6833,26.4,82,100,5.46,overcast clouds
Rapar,IN,23.5667,70.6333,81.95,71,0,10.69,clear sky
Kodiak,US,57.79,-152.4072,53.11,40,20,12.66,few clouds
Coihaique,CL,-45.5752,-72.0662,35.55,87,0,4.61,clear sky
Jacqueville,CI,5.2052,-4.4146,80.74,83,68,7.23,light rain
Sakyla,FI,61.0333,22.3333,41.58,77,10,9.44,clear sky
Brechin,GB,56.7299,-2.6573,51.35,82,99,4.83,overcast clouds
Melipilla,CL,-33.7,-71.2167,49.01,52,77,0.92,broken clouds
Lagoa,PT,39.05,-27.9833,58.86,68,3,29.35,clear sky
Ilhabela,BR,-23.7781,-45.3581,70.92,86,88,10.63,overcast clouds
Batangafo,CF,7.3008,18.2833,72.01,91,100,2.44,moderate rain
Honiara,SB,-9.4333,159.95,86.04,67,62,3.11,broken clouds
Port Elizabeth,ZA,-33.918,25.5701,52.32,94,5,1.99,clear sky
Itaueira,BR,-7.6033,-43.0256,84.29,43,79,6.26,broken clouds
Kahului,US,20.8947,-156.47,84.22,51,20,24.16,few clouds
Lebu,CL,-37.6167,-73.65,49.84,85,10,11.39,clear sky
Lasa,IT,46.6166,10.7002,52.36,90,33,1.23,scattered clouds
Benghazi,LY,32.1167,20.0667,66.11,73,0,7.76,clear sky
Bosaso,SO,11.2842,49.1816,84.88,41,1,6.53,clear sky
San Quintin,MX,30.4833,-115.95,71.51,51,8,10.0,clear sky
Anaco,VE,9.4389,-64.4728,83.39,50,96,4.36,overcast clouds
Naryan-Mar,RU,67.6713,53.087,37.11,92,9,10.65,clear sky
La Rioja,ES,42.25,-2.5,51.58,90,85,6.04,overcast clouds
Owando,CG,-0.4819,15.8999,70.93,98,24,3.2,light rain
Lorengau,PG,-2.0226,147.2712,85.06,65,91,7.09,overcast clouds
North Bend,US,43.4065,-124.2243,59.16,88,100,18.41,overcast clouds
Elliot Lake,CA,46.3834,-82.6331,61.18,87,89,4.09,overcast clouds
Kapoeta,SS,4.7717,33.5903,82.49,47,23,17.9,few clouds
Victor Harbor,AU,-35.5667,138.6167,63.0,78,3,4.0,clear sky
Kaitangata,NZ,-46.2817,169.8464,51.93,69,72,6.06,broken clouds
Cidreira,BR,-30.1811,-50.2056,63.99,94,100,6.11,heavy intensity rain
Tasiilaq,GL,65.6145,-37.6368,26.76,76,100,3.44,overcast clouds
San Juan De Los Morros,VE,9.9115,-67.3538,78.42,63,100,1.34,overcast clouds
Te Anau,NZ,-45.4167,167.7167,55.0,73,92,0.51,overcast clouds
Proletariy,RU,58.4342,31.7046,41.9,97,56,4.83,broken clouds
Mayumba,GA,-3.432,10.6554,77.16,93,82,5.39,broken clouds
The Valley,AI,18.217,-63.0578,79.11,78,25,20.71,scattered clouds
Changji,CN,44.0167,87.3167,66.99,22,57,2.24,broken clouds
Yeppoon,AU,-23.1333,150.7333,73.18,76,0,3.67,clear sky
Murray Bridge,AU,-35.1167,139.2667,61.12,61,0,15.01,clear sky
Havre-Saint-Pierre,CA,50.2334,-63.5986,46.76,61,22,7.16,few clouds
Bac Lieu,VN,9.285,105.7244,84.63,75,92,6.06,overcast clouds
Okhotsk,RU,59.3833,143.3,37.72,90,100,16.55,moderate rain
Zonguldak,TR,41.25,31.8333,51.06,69,75,4.72,broken clouds
Abha,SA,18.2164,42.5053,62.85,15,0,4.61,clear sky
Half Moon Bay,US,37.4636,-122.4286,88.57,67,0,24.16,clear sky
Miura,JP,35.14,139.6192,64.6,77,99,19.22,overcast clouds
Jackson,US,42.4165,-122.8345,74.39,50,20,6.91,few clouds
Mpika,ZM,-11.8343,31.4529,53.17,73,1,5.23,clear sky
Romny,UA,50.751,33.4747,45.48,95,26,7.92,scattered clouds
Saldanha,ZA,-33.0117,17.9442,57.51,83,0,9.91,clear sky
Hasaki,JP,35.7333,140.8333,63.0,68,100,18.77,overcast clouds
Thinadhoo,MV,0.5333,72.9333,83.25,72,98,13.11,overcast clouds
Jerome,US,42.7241,-114.5186,70.63,37,0,16.11,clear sky
Los Negros,BO,-17.7333,-63.4333,72.95,96,54,6.78,broken clouds
Batemans Bay,AU,-35.7167,150.1833,64.09,94,100,2.75,overcast clouds
Bundaberg,AU,-24.85,152.35,80.22,78,75,6.91,broken clouds
Olinda,BR,-8.0089,-34.8553,79.34,80,52,9.82,broken clouds
Sovetskiy,RU,61.3614,63.5842,45.66,85,97,12.26,light rain
Le Port,RE,-20.9373,55.2919,69.8,77,22,4.23,few clouds
Vung Tau,VN,10.346,107.0843,84.88,76,99,8.05,overcast clouds
Tefe,BR,-3.3542,-64.7114,75.51,98,90,0.83,overcast clouds
Velika Kladusa,BA,45.1894,15.8117,56.75,89,62,1.05,broken clouds
Salaga,GH,8.5508,-0.5188,81.45,71,55,4.0,broken clouds
Buala,SB,-8.145,159.5921,85.03,68,62,1.3,broken clouds
Dikson,RU,73.5069,80.5464,30.56,87,100,3.38,overcast clouds
Braganca,BR,-1.0536,-46.7656,74.23,99,100,1.83,overcast clouds
Los Algarrobos,PA,8.5,-82.4333,78.8,87,100,1.01,overcast clouds
Bedele,ET,8.456,36.353,56.55,94,79,3.42,broken clouds
Puerto Madryn,AR,-42.7692,-65.0385,50.13,45,0,15.59,clear sky
Minas,UY,-34.3759,-55.2377,49.78,95,14,4.5,few clouds
Langxiang,CN,46.95,128.8833,52.61,47,91,15.01,overcast clouds
Baruun-Urt,MN,46.6806,113.2792,53.98,32,72,13.02,broken clouds
Kavaratti,IN,10.5669,72.642,80.89,82,100,21.56,light rain
Floro,NO,61.5996,5.0328,45.97,93,100,10.36,light intensity drizzle
Colares,PT,38.7992,-9.4469,66.33,73,49,15.01,scattered clouds
Mehran,IR,33.1222,46.1646,79.88,16,6,9.84,clear sky
Balikpapan,ID,-1.2675,116.8289,79.79,94,20,3.44,few clouds
Honningsvag,NO,70.9821,25.9704,38.95,87,100,0.0,overcast clouds
Upata,VE,8.0086,-62.3989,80.19,71,100,5.44,overcast clouds
Hovd,MN,48.0056,91.6419,54.63,17,0,1.57,clear sky
Khatanga,RU,71.9667,102.5,34.39,100,100,10.18,overcast clouds
Bolobo,CD,-2.1667,16.2333,71.58,98,45,2.1,light rain
Siddipet,IN,18.1,78.85,83.43,71,64,9.31,broken clouds
Dospat,BG,41.65,24.1667,47.59,93,57,5.08,broken clouds
Gumdag,TM,39.2061,54.5906,68.31,39,3,14.18,clear sky
Ust-Kulom,RU,61.6864,53.6902,44.22,97,98,5.5,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,72.95,71,61,13.0,broken clouds
Fairbanks,US,64.8378,-147.7164,49.96,64,75,1.01,shower rain
Cabedelo,BR,-6.9811,-34.8339,77.67,83,28,10.51,scattered clouds
Provideniya,RU,64.3833,-173.3,34.3,96,100,6.6,light snow
Sabang,ID,5.8933,95.3214,83.19,77,68,6.69,broken clouds
El Retorno,CO,2.3302,-72.6276,71.38,99,100,1.77,overcast clouds
Basco,PH,20.4487,121.9702,82.13,78,90,1.36,overcast clouds
Thaton,MM,16.9206,97.3714,80.82,82,97,0.85,overcast clouds
Maningrida,AU,-12.0667,134.2667,81.99,64,14,4.21,few clouds
Flin Flon,CA,54.7682,-101.865,34.45,97,100,10.36,light snow
Koindu,GN,8.4386,-10.3253,69.67,98,100,0.76,overcast clouds
Saskatoon,CA,52.1168,-106.6345,55.85,38,99,14.92,overcast clouds
Touros,BR,-5.1989,-35.4608,78.89,85,52,11.86,broken clouds
Aripuana,BR,-9.1667,-60.6333,75.79,88,29,1.54,light rain
San Jose,US,37.3394,-121.895,88.52,35,20,19.57,few clouds
Khani,GE,41.9563,42.9566,44.17,67,63,5.99,broken clouds
Japura,ID,-0.3167,102.35,77.07,92,11,1.19,few clouds
Norman Wells,CA,65.282,-126.8329,39.81,88,100,9.86,overcast clouds
Tilichiki,RU,60.4667,166.1,34.84,98,100,2.55,overcast clouds
Sayyan,YE,15.1718,44.3244,58.73,22,2,4.21,clear sky
Gravelbourg,CA,49.8834,-106.5512,57.45,47,81,17.56,broken clouds
Cockburn Town,TC,21.4612,-71.1419,79.3,85,100,23.55,overcast clouds
Barra Do Corda,BR,-5.5,-45.25,75.4,91,52,3.06,broken clouds
Abu Dhabi,AE,24.4667,54.3667,76.96,64,0,4.61,clear sky
Artyom,AZ,40.4723,50.333,62.74,83,99,15.35,overcast clouds
Zhigansk,RU,66.7697,123.3711,25.93,64,12,10.4,few clouds
Dingzhou,CN,38.5131,114.9956,67.01,28,50,5.57,scattered clouds
Olafsvik,IS,64.8945,-23.7142,40.75,88,100,20.51,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,75.79,69,100,7.72,overcast clouds
Yantal,RU,56.8471,105.2542,59.09,36,58,0.47,broken clouds
Katangli,RU,51.7102,143.2326,33.01,100,100,16.62,light snow
Lewistown,US,40.5992,-77.5714,71.17,100,98,2.93,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,94.3,32,40,16.11,scattered clouds
Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.68,84,99,2.44,overcast clouds
Kendari,ID,-3.945,122.4989,80.2,86,71,0.87,broken clouds
Juneau,US,58.3019,-134.4197,51.8,63,75,11.5,shower rain
Leh,IN,34.1667,77.5833,45.68,36,0,3.76,clear sky
Pisco,PE,-13.7,-76.2167,64.45,82,100,5.75,overcast clouds
At-Bashi,KG,41.1702,75.8106,50.02,84,100,3.58,light rain
Altagracia De Orituco,VE,9.8601,-66.3814,77.2,74,100,4.29,overcast clouds
Gigmoto,PH,13.7796,124.39,83.66,78,99,10.92,overcast clouds
Smithers,CA,54.7804,-127.1743,53.4,48,85,2.95,light rain
Pangnirtung,CA,66.1451,-65.7125,13.68,96,78,3.27,broken clouds
Waipawa,NZ,-41.4122,175.5153,54.68,94,100,5.55,overcast clouds
San Patricio,US,28.017,-97.5169,86.72,60,6,16.08,clear sky
Dandong,CN,40.1292,124.3947,59.13,32,0,5.5,clear sky
Katobu,ID,-4.9408,122.5276,80.74,79,56,2.64,broken clouds
Nautla,MX,20.2167,-96.7833,81.72,68,30,9.89,scattered clouds
